Fund Name,Shortname
PUBLIC AGGRESSIVE GROWTH FUND,PAGF
PUBLIC ASIA ITTIKAL FUND,PAIF
PUBLIC BALANCED FUND,PBF
PUBLIC CHINA TITANS FUND,PCTF
PUBLIC EHSAN MIXED ASSET CONSERVATIVE FUND,PESMACF
PUBLIC ENHANCED BOND FUND,PEBF
PUBLIC ENTERPRISES BOND FUND,PENTBF
PUBLIC FAR-EAST ALPHA-30 FUND,PFA30F
PUBLIC GLOBAL SELECT FUND,PGSF
PUBLIC GROWTH FUND,PGF
PUBLIC INDONESIA SELECT FUND,PINDOSF
PUBLIC ISLAMIC ALPHA-40 GROWTH FUND,PIA40GF
PUBLIC ISLAMIC ASEAN GROWTH FUND,PIASGF
PUBLIC ISLAMIC DIVIDEND FUND,PIDF
PUBLIC ISLAMIC ENHANCED BOND FUND,PIEBF
PUBLIC ISLAMIC ENTERPRISES EQUITY FUND,PIENTEF
PUBLIC ISLAMIC GROWTH BALANCED FUND,PIGRBF
PUBLIC ISLAMIC MIXED ASSET FUND,PIMXAF
PUBLIC ISLAMIC SAVINGS FUND,PISVF
PUBLIC ISLAMIC SELECT TREASURES FUND,PISTF
PUBLIC ITTIKAL SEQUEL FUND,PITSEQ
PUBLIC OPTIMAL GROWTH FUND,POGF
PUBLIC REGIONAL SECTOR FUND,PRSEC
PUBLIC REGULAR SAVINGS FUND,PRSF
PUBLIC SECTOR SELECT FUND,PSSF
PUBLIC SELECT ALPHA-30 FUND,PSA30F
PUBLIC SELECT MIXED ASSET CONSERVATIVE FUND,PSMACF
PUBLIC SELECT MIXED ASSET GROWTH FUND,PSMAGF
PUBLIC SELECT TREASURES EQUITY FUND,PSTEF
PUBLIC SINGAPORE EQUITY FUND,PSGEF
PUBLIC SOUTH-EAST ASIA SELECT FUND,PSEASF
PUBLIC STRATEGIC BOND FUND,PSTBF
PUBLIC STRATEGIC GROWTH FUND,PSTGF
PB AIMAN SUKUK FUND,PBASF
PB ASIA PACIFIC ENTERPRISES FUND,PBAPENTF
PB BALANCED FUND,PBBF
PB GROWTH SEQUEL FUND,PBGSQF
PB ISLAMIC EQUITY FUND,PBIEF
PB SINGAPORE ADVANTAGE-30 EQUITY FUND,PBSGA30EF
