Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC ISLAMIC SELECT TREASURES FUND,PISTF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,1262.73,26.02.2008,Qualified,100.0,5/5,5.86,1.20,4.66,18.31,0.31,18.00,9.42,1.36,8.06,2.81,-2.46,5.27,5.52,0.84,4.68,0.51,1.98,0.89,0.58,0.51,74.70,20.40,,4.90,,,7.00,6.40,2.80,4.20,,,,,,,,,37.30,7.20,15.70,8.50,,20.90,,,,,,TIME dotCom Berhad | KPJ Healthcare Berhad | Frontken Corporation Berhad | Vitrox Corporation Berhad | Farm Fresh Berhad,"Industrial (37.3%) | Consumer, Non-cyclical (20.9%) | Financial (15.7%) | Communications (8.5%) | Technology (7.2%)",9.1,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC EMERGING OPPORTUNITIES FUND,PIEMOF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,104.43,30.03.2016,Qualified,100.0,4/4,8.87,1.14,7.73,19.49,0.73,18.76,8.86,1.66,7.20,2.76,-1.83,4.59,,,,0.91,2.21,0.85,0.54,,71.80,21.00,,7.20,,,7.10,5.70,3.00,5.20,,,,,,,,,35.10,,11.60,,5.10,21.70,,7.50,,,,Spritzer Berhad | Gas Malaysia Berhad | Malayan Cement Berhad | Kinik Company | Shibaura Mechatronics Corporation,"Industrial (35.1%) | Consumer, Non-cyclical (21.7%) | Financial (11.6%) | Energy (7.5%) | Consumer, Cyclical (5.1%)",8.5,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ASIA ITTIKAL FUND,PAIF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,5179.30,22.08.2006,Qualified,100.0,5/5,24.96,16.63,8.33,55.72,32.88,22.84,22.06,14.92,7.14,5.12,2.91,2.21,9.82,7.79,2.03,0.43,1.17,0.37,0.11,0.10,,94.60,,5.40,,,3.40,30.60,41.40,11.40,,,7.80,,,,,,26.80,54.70,,13.10,,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Delta Electronics Incorporated,Technology (54.7%) | Industrial (26.8%) | Communications (13.1%),19.5,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPAIFisacompositeof30%KualaLumpurSyariahIndex(prior to 1 November 2007), 30% FTSE Bursa Malaysia EMAS Shariah Index (1 November 2007 to 29 April 2011), 30% FTSE Bursa Malaysia Hijrah Shariah Index (30April2011to29April2013),15%FTSEBursaMalaysiaHijrahShariahIndex (w.e.f. 30 April 2013), 15% customised indexbyS&P Dow Jones Indices, LLC based on top 20 constituents bymarket capitalisation of the S&P BMIShariah JapanIndex(w.e.f.30April2013)and70%DowJonesIslamicMarketAsiaEx- JapanIndexSM(priorto1January2009),70%S&PShariahBMIAsiaEx-Japan Index (w.e.f. 1 January 2009). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC SMALLCAP FUND,P SmallCap,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,1448.19,13.06.2000,Qualified,100.0,5/5,3.52,-0.06,3.58,16.01,-0.97,16.98,7.49,0.70,6.79,4.37,-0.76,5.13,5.68,0.42,5.26,0.46,2.18,0.87,0.66,0.67,76.70,17.10,,6.20,,,13.00,,,4.10,,,,,,,,,23.40,,34.30,19.50,,7.00,,,,,5.70,TIME dotCom Berhad | IGB Real Estate Investment Trust | Hong Leong Industries Berhad | Malaysian Pacific Industries Berhad | IGB Berhad,"Financial (34.3%) | Industrial (23.4%) | Communications (19.5%) | Consumer, Non-cyclical (7.0%) | Diversified (5.7%)",7.8,Moderate,Equity Malaysia Domestic 30% of the fund’s NAV,,[MFR FEB26] Public Series Funds.pdf
PUBLIC REGIONAL SECTOR FUND,PRSEC,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,571.04,21.03.2006,Qualified,100.0,5/5,19.90,10.69,9.21,39.14,26.12,13.02,20.85,14.17,6.68,4.71,2.39,2.32,8.53,7.39,1.14,0.54,0.77,0.39,0.14,0.07,1.00,93.20,,5.80,,,,30.20,36.20,9.80,,,10.40,3.30,,,,,20.20,51.20,8.70,14.10,,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | SK Hynix Incorporated | HD Hyundai Electric Company Limited | Tencent Holdings Limited,Technology (51.2%) | Industrial (20.2%) | Communications (14.1%) | Financial (8.7%),17.0,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ASIA PACIFIC FOCUS FUND,PAPFF,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,120.99,30.11.2021,Qualified,100.0,3/3,19.16,9.35,9.81,43.85,24.76,19.09,22.92,16.43,6.49,,,,,,,0.53,1.03,0.35,,,1.00,93.50,,5.50,,,9.40,26.80,39.90,8.70,,,8.70,,,,,,23.00,54.30,2.20,15.00,,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Alibaba Group Holding Limited - W,Technology (54.3%) | Industrial (23.0%) | Communications (15.0%) | Financial (2.2%),18.5,Very High,Equity Asia Pacific Asia,"ThebenchmarkforPAPFFisacompositeof80%customisedindexbyS&PDow JonesIndices,LLCbasedonthetop30constituentsoftheS&PBMIAsiaEx-Japan Index, 10% Tokyo Stock Price Index (TOPIX) and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC STRATEGIC SMALLCAP FUND,PSSCF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,455.28,20.03.2012,Qualified,100.0,5/5,0.59,-0.06,0.65,15.84,-0.97,16.81,6.70,0.70,6.00,2.02,-0.76,2.78,4.05,0.42,3.63,0.06,1.46,0.52,0.24,0.32,76.70,18.40,,4.90,,,14.10,,,4.30,,,,,,,,,39.30,,14.30,14.50,,14.50,,,,,5.40,Spritzer Berhad | Kelington Group Berhad | Meta Platforms Incorporated | Malaysian Pacific Industries Berhad | Alphabet Incorporated - Class A,"Industrial (39.3%) | Communications (14.5%) | Consumer, Non-cyclical (14.5%) | Financial (14.3%) | Diversified (5.4%)",11.5,High,Equity Malaysia Domestic 30% of the fund’s NAV,Index data are sourced from Lipper.,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC ASIA DIVIDEND FUND,PIADF,Shariah,Equity,Asia,Income,5,Annual,1686.97,03.04.2007,Qualified,100.0,5/5,17.79,14.96,2.83,34.98,30.36,4.62,18.53,13.61,4.92,3.33,2.84,0.49,8.41,6.94,1.47,0.19,0.31,0.33,0.03,0.10,1.80,84.60,,13.60,,,4.00,20.40,39.70,,,,12.10,,,,3.60,,20.20,36.90,,25.10,,1.50,,,1.80,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Hanwha Aerospace Company Limited,"Technology (36.9%) | Communications (25.1%) | Industrial (20.2%) | Basic Materials (1.8%) | Consumer, Non-cyclical (1.5%)",14.9,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC ISLAMIC SAVINGS FUND,PISVF,Shariah,Equity,Malaysia,Income,4,Semi-Annual,486.59,15.12.2011,Qualified,100.0,5/5,1.97,0.96,1.01,14.18,6.76,7.42,9.01,4.19,4.82,2.39,-0.72,3.11,4.64,0.35,4.29,0.11,0.81,0.52,0.34,0.47,76.50,17.30,,6.20,,,8.90,2.00,6.40,,,,,,,,,,26.80,,12.30,13.90,,9.80,10.30,,,,,Tenaga Nasional Berhad | Telekom Malaysia Berhad | Press Metal Aluminium Holdings Berhad | HD Hyundai Electric Company Limited | Malayan Cement Berhad,"Industrial (26.8%) | Communications (13.9%) | Financial (12.3%) | Utilities (10.3%) | Consumer, Non-cyclical (9.8%)",9.2,Moderate,Equity Malaysia Domestic,,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB GREATER CHINA A-SHARES FUND,PBGCASF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,543.83,10.03.2020,Qualified,100.0,4/4,-0.15,-1.59,1.44,28.45,4.87,23.58,11.29,6.63,4.66,0.01,-0.97,0.97,,,,0.07,1.22,0.24,0.05,,,90.50,,9.50,,,2.30,24.90,,,,,63.30,,,,,,6.70,34.80,,17.10,,10.00,,,16.00,,,Taiwan Semiconductor Manufacturing Company Limited | Zijin Mining Group Company Limited - A Shares (HKS) | Wanhua Chemical Group Company Limited - A Shares (HKS) | Kinik Company | NAURA Technology Group Company Limited - A Shares (HKS),"Technology (34.8%) | Communications (17.1%) | Basic Materials (16.0%) | Consumer, Non-cyclical (10.0%) | Industrial (6.7%)",19.3,Very High,Equity Greater China Greater China,"ThebenchmarkforPBGCASFisacompositeof50%S&PChinaA50Index,25% Hang Seng China Enterprises Index(HSCEI), 15% S&P Taiwan LargeCapIndex and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
